provider,ticker,date,official_close,yahoo_close,close_difference,official_volume,yahoo_volume,volume_difference,status
Euronext,ALBFR.PA,2026-07-15,176.4,176.39999389648438,-0.000006103515630684342,1130,1130,0,PASS
Euronext,ALBFR.PA,2026-07-14,174.6,174.60000610351562,0.000006103515630684342,1148,1148,0,PASS
Euronext,ALBFR.PA,2026-07-13,173.4,173.39999389648438,-0.000006103515630684342,546,546,0,PASS
Euronext,ALBFR.PA,2026-07-10,175.2,175.1999969482422,-0.0000030517578011313162,607,607,0,PASS
Euronext,ALBFR.PA,2026-07-09,176,176,0,1505,1505,0,PASS
Euronext,ALBFR.PA,2026-07-08,177.2,177.1999969482422,-0.0000030517578011313162,1194,1194,0,PASS
Euronext,ALBFR.PA,2026-07-07,171,171,0,1027,1027,0,PASS
Euronext,ALBFR.PA,2026-07-06,177,177,0,1267,1267,0,PASS
Euronext,ALBFR.PA,2026-07-03,179.2,179.1999969482422,-0.0000030517578011313162,2628,2628,0,PASS
Euronext,ALBFR.PA,2026-07-02,180.4,180.39999389648438,-0.000006103515630684342,1842,1842,0,PASS
Nasdaq,BL,2026-07-14,29.11,29.110000610351562,6.103515630684342e-7,901028,901000,-28,PASS
Nasdaq,BL,2026-07-13,30.09,30.09000015258789,1.5258789076710855e-7,1293845,1293800,-45,PASS
Nasdaq,BL,2026-07-10,29.13,29.1299991607666,-8.392333974427402e-7,713976,714000,24,PASS
Nasdaq,BL,2026-07-09,29.04,29.040000915527344,9.155273446026513e-7,836860,836900,40,PASS
Nasdaq,BL,2026-07-08,28.55,28.549999237060547,-7.629394538355427e-7,1027501,1027500,-1,PASS
Nasdaq,BL,2026-07-07,29.02,29.020000457763672,4.5776367230132564e-7,776098,776100,2,PASS
Nasdaq,BL,2026-07-06,29.1,29.100000381469727,3.8146972514141453e-7,743762,743600,-162,PASS
Nasdaq,BL,2026-07-02,29.88,29.8799991607666,-8.392333974427402e-7,1055620,1055600,-20,PASS
Nasdaq,BL,2026-07-01,29.45,29.450000762939453,7.629394538355427e-7,1225090,1225100,10,PASS
Nasdaq,BILL,2026-07-14,41.37,41.369998931884766,-0.0000010681152318170462,1926650,1926600,-50,PASS
Nasdaq,BILL,2026-07-13,42.86,42.86000061035156,6.103515630684342e-7,2183690,2183300,-390,PASS
Nasdaq,BILL,2026-07-10,41.36,41.36000061035156,6.103515630684342e-7,1877510,1877500,-10,PASS
Nasdaq,BILL,2026-07-09,40.52,40.52000045776367,4.5776366874861196e-7,2092642,2092600,-42,PASS
Nasdaq,BILL,2026-07-08,39.3,39.29999923706055,-7.629394502828291e-7,1723210,1722900,-310,PASS
Nasdaq,BILL,2026-07-07,40.68,40.68000030517578,3.051757815342171e-7,2091369,2091200,-169,PASS
Nasdaq,BILL,2026-07-06,40.23,40.22999954223633,-4.5776366874861196e-7,1865667,1865300,-367,PASS
Nasdaq,BILL,2026-07-02,40.48,40.47999954223633,-4.5776366874861196e-7,2817623,2817100,-523,PASS
Nasdaq,BILL,2026-07-01,38.78,38.779998779296875,-0.0000012207031261368684,3752638,3752500,-138,PASS
Nasdaq,NCNO,2026-07-14,17.52,17.520000457763672,4.5776367230132564e-7,1747609,1747600,-9,PASS
Nasdaq,NCNO,2026-07-13,17.4,17.399999618530273,-3.8146972514141453e-7,2419088,2419100,12,PASS
Nasdaq,NCNO,2026-07-10,16.99,16.989999771118164,-2.2888183437430598e-7,1423238,1423200,-38,PASS
Nasdaq,NCNO,2026-07-09,16.98,16.979999542236328,-4.5776367230132564e-7,2912196,2912200,4,PASS
Nasdaq,NCNO,2026-07-08,17.34,17.34000015258789,1.5258789076710855e-7,3399168,3399100,-68,PASS
Nasdaq,NCNO,2026-07-07,18.06,18.059999465942383,-5.340576159085231e-7,3348651,3348700,49,PASS
Nasdaq,NCNO,2026-07-06,18.14,18.139999389648438,-6.103515630684342e-7,2623936,2623900,-36,PASS
Nasdaq,NCNO,2026-07-02,17.75,17.75,0,3384399,3384400,1,PASS
Nasdaq,NCNO,2026-07-01,17.15,17.149999618530273,-3.8146972514141453e-7,3872621,3872600,-21,PASS
Nasdaq,WK,2026-07-14,53.69,53.689998626708984,-0.0000013732910133512632,530959,530900,-59,PASS
Nasdaq,WK,2026-07-13,54.54,54.540000915527344,9.155273446026513e-7,996861,996800,-61,PASS
Nasdaq,WK,2026-07-10,52.17,52.16999816894531,-0.0000018310546892053026,582793,582800,7,PASS
Nasdaq,WK,2026-07-09,52.33,52.33000183105469,0.0000018310546892053026,749082,749100,18,PASS
Nasdaq,WK,2026-07-08,51.97,51.970001220703125,0.0000012207031261368684,856622,856600,-22,PASS
Nasdaq,WK,2026-07-07,52.96,52.959999084472656,-9.155273446026513e-7,797765,797700,-65,PASS
Nasdaq,WK,2026-07-06,51.54,51.540000915527344,9.155273446026513e-7,635889,635900,11,PASS
Nasdaq,WK,2026-07-02,51.93,51.93000030517578,3.051757815342171e-7,712028,711700,-328,PASS
Nasdaq,WK,2026-07-01,50.79,50.790000915527344,9.155273446026513e-7,1605069,1605100,31,PASS
