date,open,high,low,last,close,volume,turnover,vwap
2026-07-15,174.60,177.20,173.00,176.40,176.40,1130,197332,174.6303
2026-07-14,173.60,175.20,170.00,174.60,174.60,1148,198400,172.8226
2026-07-13,175.00,175.00,172.40,173.40,173.40,546,94916,173.8396
2026-07-10,175.80,177.40,174.60,175.20,175.20,607,106853,176.0346
2026-07-09,177.40,177.40,168.00,176.00,176.00,1505,260671,173.2033
2026-07-08,171.60,177.60,171.60,177.20,177.20,1194,207539,173.8183
2026-07-07,177.00,177.00,170.40,171.00,171.00,1027,177289,172.6277
2026-07-06,179.00,179.40,175.80,177.00,177.00,1267,225167,177.7170
2026-07-03,180.60,183.40,178.40,179.20,179.20,2628,474968,180.7336
2026-07-02,176.80,182.00,176.80,180.40,180.40,1842,331555,179.9971
